"inc_code","category","subcategory"
"12055","weapons offense","weapons offense"
"12060","weapons offense","weapons offense"
"12065","weapons offense","weapons offense"
"12068","other miscellaneous","other"
"12070","weapons carrying etc","weapons offense"
"12080","weapons carrying etc","weapons offense"
"12090","weapons carrying etc","weapons offense"
"12100","weapons carrying etc","weapons offense"
"12110","weapons carrying etc","weapons offense"
"12120","weapons carrying etc","weapons offense"
"12130","weapons carrying etc","weapons offense"
"12140","weapons carrying etc","weapons offense"
"12150","weapons carrying etc","weapons offense"
"12160","weapons carrying etc","weapons offense"
"12161","weapons carrying etc","weapons offense"
"12162","weapons carrying etc","weapons offense"
"12163","weapons carrying etc","weapons offense"
"12164","weapons carrying etc","weapons offense"
"12165","weapons carrying etc","weapons offense"
"12166","weapons carrying etc","weapons offense"
"12167","weapons carrying etc","weapons offense"
"12168","weapons carrying etc","weapons offense"
"12169","weapons carrying etc","weapons offense"
"12171","weapons carrying etc","weapons offense"
"12172","weapons carrying etc","weapons offense"
"12173","weapons carrying etc","weapons offense"
"13010","prostitution","prostitution"
"13020","prostitution","prostitution"
"13030","human trafficking, commercial sex acts","human trafficking, commercial sex acts"
"13045","human trafficking (a), commercial sex acts","human trafficking, commercial sex acts"
"13050","human trafficking, commercial sex acts","human trafficking, commercial sex acts"
"13060","prostitution","prostitution"
"13070","prostitution","prostitution"
"13071","human trafficking (a), commercial sex acts","human trafficking (a), commercial sex act"
"13073","human trafficking (a), commercial sex acts","human trafficking, commercial sex acts"
"13075","prostitution","prostitution"
"13080","human trafficking (b), involuntary servitude","human trafficking, involuntary servitude"
"13110","prostitution","prostitution"
"13111","prostitution","prostitution"
"13115","disorderly conduct","disorderly conduct"
"13120","disorderly conduct","disorderly conduct"
"14010","sex offense","sex offense, child"
"14015","sex offense","sex offense, child"
"14016","human trafficking (a), commercial sex acts","human trafficking (a), commercial sex acts"
"14017","sex offense","sex offense"
"14020","sex offense","sex offense"
"14030","sex offense","sex offense"
"14031","sex offense","sex offense"
"14040","sex offense","sex offense"
"14041","sex offense","prostitution"
"14042","sex offense","sex offense"
"14043","sex offense","sex offense"
"14044","sex offense","sex offense"
"14045","sex offense","sex offense"
"14050","rape","rape"
"14052","rape","rape"
"14060","sex offense","sex offense"
"14070","rape","rape"
"14072","rape","rape"
"15010","family offense","child abuse"
"15015","family offense","child abuse"
"15016","sex offense","child abuse"
"15017","sex offense","child abuse"
"15020","sex offense","child abuse"
"15021","offences against the family and children","kidnapping"
"15022","offences against the family and children","kidnapping"
"15030","offences against the family and children","other"
"15031","offences against the family and children","drug violation"
"15032","offences against the family and children","drug violation"
"15040","offences against the family and children","family offenses"
"15041","offences against the family and children","family offenses"
"15050","offences against the family and children","family offenses"
"15051","offences against the family and children","family offenses"
"15052","offences against the family and children","family offenses"
"15054","offences against the family and children","family offenses"
"15060","offences against the family and children","family offenses"
"15070","offences against the family and children","family offenses"
"15080","offences against the family and children","family offenses"
"15090","offences against the family and children","family offenses"
"15095","offences against the family and children","other"
"15097","offences against the family and children","other"
"15100","offences against the family and children","family offenses"
"15150","offences against the family and children","other"
"15151","offences against the family and children","other"
"15152","offences against the family and children","other"
"15153","offences against the family and children","other"
"15154","offences against the family and children","other"
"15155","offences against the family and children","other"
"15160","offences against the family and children","other"
"15161","offences against the family and children","other"
"15162","offences against the family and children","other"
"15163","offences against the family and children","other"
"15200","offences against the family and children","other"
"15201","offences against the family and children","stalking"
"15300","offences against the family and children","other"
"15301","offences against the family and children","intimidation"
"15302","offences against the family and children","intimidation"
"15303","offences against the family and children","intimidation"
"15400","offences against the family and children","other"
"15401","offences against the family and children","loitering"
"15500","offences against the family and children","other"
"16010","drug offense","drug violation"
"16020","drug offense","drug violation"
"16030","drug offense","drug violation"
"16040","drug offense","drug violation"
"16050","drug offense","drug violation"
"16060","drug offense","drug violation"
"16070","drug offense","drug violation"
"16100","drug offense","drug violation"
"16110","drug offense","drug violation"
"16120","drug offense","drug violation"
"16130","drug offense","drug violation"
"16140","drug offense","drug violation"
"16210","drug offense","drug violation"
"16220","drug offense","drug violation"
"16230","drug offense","drug violation"
"16240","drug offense","drug violation"
"16250","drug offense","drug violation"
"16310","drug offense","drug violation"
"16320","drug offense","drug violation"
"16330","drug offense","drug violation"
"16340","drug offense","drug violation"
"16350","drug offense","drug violation"
"16410","drug offense","drug violation"
"16420","drug offense","drug violation"
"16430","drug offense","drug violation"
"16440","drug offense","drug violation"
"16450","drug offense","drug violation"
"16510","drug offense","drug violation"
"16520","drug offense","drug violation"
"16530","drug offense","drug violation"
"16540","drug offense","drug violation"
"16550","drug offense","drug violation"
"16560","drug offense","drug violation"
"16610","drug offense","drug violation"
"16612","drug offense","drug violation"
"16614","drug offense","drug violation"
"16616","drug offense","drug violation"
"16618","drug offense","drug violation"
"16620","drug offense","drug violation"
"16621","drug offense","drug violation"
"16622","drug offense","drug violation"
"16623","drug offense","drug violation"
"16624","drug offense","drug violation"
"16625","drug offense","drug violation"
"16626","drug offense","drug violation"
"16628","drug offense","drug violation"
"16629","drug offense","drug violation"
"16630","drug offense","drug violation"
"16632","drug offense","drug violation"
"16634","drug offense","drug violation"
"16636","drug offense","drug violation"
"16638","drug offense","drug violation"
"16640","drug offense","drug violation"
"16642","drug offense","drug violation"
"16644","drug offense","drug violation"
"16645","drug offense","drug violation"
"16646","drug offense","drug violation"
"16648","drug offense","drug violation"
"16650","drug offense","drug violation"
"16652","drug offense","drug violation"
"16654","drug offense","drug violation"
"16656","drug offense","drug violation"
"16658","drug offense","drug violation"
"16660","drug offense","drug violation"
"16662","drug offense","drug violation"
"16664","drug offense","drug violation"
"16666","drug offense","drug violation"
"16668","drug offense","drug violation"
"16700","drug offense","drug violation"
"16704","drug offense","drug violation"
"16705","drug offense","drug violation"
"16710","drug offense","drug violation"
"16711","drug offense","drug violation"
"16712","drug offense","drug violation"
"16720","drug offense","drug violation"
"16730","drug offense","drug violation"
"16740","drug offense","drug violation"
"16750","drug offense","drug violation"
"16760","drug offense","drug violation"
"16780","drug violation","drug violation"
"17010","liquor laws","liquor law violation"
"17020","liquor laws","liquor law violation"
"17030","liquor laws","liquor law violation"
"17031","liquor laws","liquor law violation"
"17040","liquor laws","liquor law violation"
"17050","liquor laws","liquor law violation"
"17060","liquor laws","liquor law violation"
"17070","liquor laws","liquor law violation"
"17071","liquor laws","liquor law violation"
"17072","liquor laws","liquor law violation"
"17080","liquor laws","liquor law violation"
"17090","liquor laws","liquor law violation"
"17100","liquor laws","liquor law violation"
"17110","liquor laws","liquor law violation"
"17120","liquor laws","liquor law violation"
"17130","liquor laws","liquor law violation"
"19010","disorderly conduct","disorderly conduct"
"19015","disorderly conduct","disorderly conduct"
"19020","disorderly conduct","disorderly conduct"
"19022","disorderly conduct","disorderly conduct"
"19024","disorderly conduct","disorderly conduct"
"19025","disorderly conduct","disorderly conduct"
"19026","disorderly conduct","disorderly conduct"
"19028","disorderly conduct","disorderly conduct"
"19030","disorderly conduct","disorderly conduct"
"19031","disorderly conduct","disorderly conduct"
"19032","disorderly conduct","disorderly conduct"
